Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-August-2021,1253.00,1310.00,1250.00,1288.75,1280.498710068050491622,151946,11414,194566657.00,51239,33.72,60.00,35.75
25-August-2021,1162.05,1260.00,1162.05,1248.25,1221.121128531946712323,189237,15449,231081299.00,104942,55.46,97.95,86.20
24-August-2021,1116.00,1170.00,1116.00,1162.05,1150.243322356384924990,43728,4832,50297840.00,30505,69.76,54.00,46.05
23-August-2021,1131.95,1155.90,1102.00,1114.00,1127.601422347514095335,31216,2109,35199206.00,12316,39.45,53.90,-17.95
20-August-2021,1114.80,1173.10,1108.35,1126.10,1149.261297588482681493,63487,5598,72963152.00,24017,37.83,64.75,11.30
18-August-2021,1098.00,1129.20,1082.75,1119.30,1107.775817451135602508,65692,5772,72772009.00,38823,59.10,46.45,21.30
17-August-2021,1067.00,1089.40,1059.40,1067.60,1071.439504112528310883,8389,1093,8988306.00,2906,34.64,30.00,0.60
16-August-2021,1076.00,1083.80,1057.90,1067.95,1071.862124871786387850,30223,2717,32394889.00,13253,43.85,25.90,-8.05
13-August-2021,1111.15,1145.85,1086.10,1089.05,1113.703813531604997492,45863,3480,51077798.00,9642,21.02,59.75,-22.10
12-August-2021,1090.00,1113.00,1089.95,1103.20,1103.281402538236251220,12292,1184,13561535.00,5791,47.11,23.05,13.20
11-August-2021,1119.80,1125.00,1071.50,1094.20,1089.888413387838528359,15656,1674,17063293.00,6793,43.39,53.50,-25.60
10-August-2021,1107.70,1147.80,1091.00,1104.35,1119.019998651473265457,74155,6667,82980928.00,26539,35.79,56.80,-3.35
9-August-2021,1080.10,1108.90,1080.10,1086.05,1092.794768952660716303,17702,1742,19344653.00,7982,45.09,28.80,5.95
6-August-2021,1077.00,1085.95,1072.00,1080.05,1080.486514195583596214,12680,1489,13700569.00,5552,43.79,13.95,3.05
5-August-2021,1080.00,1094.75,1070.20,1079.50,1079.070839744998900857,18196,1801,19634773.00,8294,45.58,24.55,-0.50
4-August-2021,1102.00,1116.55,1078.00,1079.80,1096.899059334298118668,13820,1351,15159145.00,4620,33.43,38.55,-22.20
3-August-2021,1100.00,1109.15,1097.00,1100.60,1102.473787621684379744,11197,1496,12344399.00,5596,49.98,12.15,0.60
2-August-2021,1120.00,1123.10,1095.00,1098.75,1104.141332121969223780,17611,1705,19445033.00,7300,41.45,28.10,-21.25
30-July-2021,1101.95,1125.00,1101.95,1116.55,1114.536740422721268163,12112,1082,13499269.00,4842,39.98,23.05,14.60
29-July-2021,1114.00,1119.55,1093.55,1099.50,1103.315066491304983194,6843,819,7549985.00,2521,36.84,26.00,-14.50
28-July-2021,1106.25,1106.25,1083.70,1095.20,1092.229394704836748058,10689,876,11674840.00,6028,56.39,22.55,-11.05
27-July-2021,1106.10,1119.25,1086.60,1099.90,1103.874151134229157636,6921,960,7639913.00,2585,37.35,32.65,-6.20
26-July-2021,1103.25,1127.55,1097.95,1103.50,1101.166460475026264887,203694,2423,224301001.00,180843,88.78,29.60,0.25
23-July-2021,1109.30,1149.30,1097.90,1103.55,1123.807885271815078692,43651,3939,49055338.00,13177,30.19,51.40,-5.75
22-July-2021,1064.05,1152.20,1064.05,1109.10,1125.805745658835546475,117480,8967,132259659.00,45626,38.84,88.15,45.05
20-July-2021,1083.00,1087.75,1054.45,1067.15,1070.858856248913610290,11506,1190,12321302.00,3174,27.59,33.30,-15.85
19-July-2021,1076.00,1091.00,1068.25,1081.65,1081.866859492927193022,22127,2248,23938468.00,7035,31.79,22.75,5.65
16-July-2021,1101.00,1117.95,1072.40,1075.80,1093.596735759751917741,30635,2933,33502336.00,12183,39.77,45.55,-25.20
15-July-2021,1105.40,1118.00,1091.00,1096.90,1100.487900889793371856,67319,1805,74083745.00,57686,85.69,27.00,-8.50
14-July-2021,1096.00,1133.10,1096.00,1107.35,1121.211384416214904118,74154,2031,83142309.00,54593,73.62,37.10,11.35
13-July-2021,1115.50,1123.00,1091.00,1096.00,1104.308231469881149900,29533,2639,32613535.00,12195,41.29,32.00,-19.50
12-July-2021,1129.00,1130.00,1104.50,1111.95,1115.331200200765418156,15939,1514,17777264.00,5637,35.37,25.50,-17.05
9-July-2021,1146.00,1154.00,1111.80,1117.55,1133.647166077424232317,44973,4107,50983514.00,18491,41.12,42.20,-28.45
8-July-2021,1097.05,1165.00,1075.25,1148.50,1134.028902379457120926,71655,4219,81258841.00,19440,27.13,89.75,51.45
7-July-2021,1109.45,1128.50,1090.80,1097.95,1106.487343133739691645,41835,3697,46289898.00,14892,35.60,37.70,-11.50
6-July-2021,1061.80,1143.15,1061.80,1100.95,1110.802501677369884021,104330,6358,115890025.00,28388,27.21,81.35,39.15
5-July-2021,1077.10,1092.75,1056.10,1061.85,1074.141534098462356538,22567,2365,24240152.00,7325,32.46,36.65,-15.25
