Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-August-2021,2641.00,2697.00,2639.45,2666.65,2669.671584865794044442,55847,4607,149093149.00,17252,30.89,57.55,25.65
25-August-2021,2633.70,2665.00,2622.90,2644.85,2644.238948140976592389,64039,6397,169334418.00,39601,61.84,42.10,11.15
24-August-2021,2622.15,2657.75,2610.15,2638.10,2630.750297939958004653,70484,6026,185425804.00,43598,61.86,47.60,15.95
23-August-2021,2615.00,2671.20,2595.10,2634.15,2625.404827940421160760,68145,5360,178908212.00,27897,40.94,76.10,19.15
20-August-2021,2490.00,2628.85,2480.60,2617.55,2572.371044122738555609,170411,15057,438360322.00,79167,46.46,148.25,127.55
18-August-2021,2489.00,2500.00,2453.90,2484.10,2486.046369961053227256,30041,2424,74683319.00,14959,49.80,46.10,-4.90
17-August-2021,2431.00,2486.90,2429.10,2479.15,2467.169076824162867309,477493,11185,1178055964.00,421495,88.27,57.80,48.15
16-August-2021,2408.85,2436.05,2394.05,2428.20,2420.945347522706895879,25653,2244,62104511.00,12542,48.89,42.00,19.35
13-August-2021,2394.00,2408.85,2391.00,2403.75,2401.230918110831794620,44951,5152,107937731.00,29237,65.04,17.85,9.75
12-August-2021,2399.00,2413.30,2378.00,2393.85,2395.606877546129882578,16692,1790,39987470.00,6365,38.13,35.30,-5.15
11-August-2021,2388.00,2395.00,2362.00,2389.95,2371.380881784194920716,31028,2090,73579206.00,23659,76.25,33.00,1.95
10-August-2021,2385.35,2392.45,2359.20,2381.50,2368.214469375645561831,45503,2159,107760863.00,9501,20.88,33.25,-3.85
9-August-2021,2380.00,2396.45,2375.00,2383.65,2386.259107328720994306,16333,1796,38974770.00,8781,53.76,21.45,3.65
6-August-2021,2359.90,2380.00,2357.05,2371.10,2370.630791183435545570,32938,3594,78083837.00,20728,62.93,22.95,11.20
5-August-2021,2394.00,2394.00,2354.00,2358.80,2370.224917243454709599,16615,1813,39381287.00,7573,45.58,40.00,-35.20
4-August-2021,2388.00,2394.85,2367.45,2376.95,2379.786556731372676318,46209,5155,109967557.00,27554,59.63,27.40,-11.05
3-August-2021,2345.00,2392.95,2327.35,2387.25,2368.975071544323001068,29003,2437,68707384.00,12845,44.29,65.60,42.25
2-August-2021,2334.00,2353.45,2325.00,2332.35,2336.512385759439394310,40813,5792,95360080.00,20861,51.11,28.45,-1.65
30-July-2021,2352.00,2355.90,2318.15,2334.05,2337.686519004648619086,18285,2500,42744598.00,7301,39.93,37.75,-17.95
29-July-2021,2366.90,2370.75,2330.40,2333.85,2348.147233993815141450,17462,2162,41003347.00,9064,51.91,40.35,-33.05
28-July-2021,2350.00,2367.00,2343.05,2361.40,2359.981415848782260996,44016,5943,103876942.00,24106,54.77,23.95,11.40
27-July-2021,2350.00,2359.00,2331.70,2342.75,2342.676962503371998920,37070,6515,86843035.00,18832,50.80,27.30,-7.25
26-July-2021,2359.25,2360.65,2339.30,2348.75,2349.252520604108270928,47806,7996,112308366.00,27758,58.06,21.35,-10.50
23-July-2021,2385.00,2391.25,2355.90,2359.25,2369.408066393554141282,66151,9949,156738713.00,35201,53.21,35.35,-25.75
22-July-2021,2445.00,2506.50,2376.05,2378.65,2446.016943481692460794,116564,10184,285117519.00,27619,23.69,130.45,-66.35
20-July-2021,2400.45,2459.30,2400.45,2433.90,2434.952577010089313476,93267,9420,227100722.00,49443,53.01,58.85,33.45
19-July-2021,2408.80,2416.00,2398.40,2410.45,2416.297481212493269273,384431,2219,928899657.00,362951,94.41,17.60,1.65
16-July-2021,2419.45,2429.00,2406.00,2414.60,2416.216577488828797729,52143,4579,125988781.00,26227,50.30,23.00,-4.85
15-July-2021,2415.80,2424.90,2402.15,2412.50,2409.863719321184386151,36711,4981,88468507.00,18466,50.30,22.75,-3.30
14-July-2021,2436.00,2439.00,2410.00,2415.60,2419.627982874789444132,28496,2406,68949719.00,12160,42.67,29.00,-20.40
13-July-2021,2450.00,2453.50,2430.10,2435.40,2437.059240804180075435,28899,3412,70428575.00,12570,43.50,23.40,-14.60
12-July-2021,2460.00,2460.00,2430.25,2444.80,2450.884364109748290372,373327,2006,914981307.00,361166,96.74,29.75,-15.20
9-July-2021,2447.00,2465.60,2438.70,2449.60,2453.951644015782551512,22810,1806,55974637.00,6669,29.24,26.90,2.60
8-July-2021,2478.90,2478.90,2439.00,2447.05,2448.394780146186521755,26131,3432,63979004.00,10552,40.38,39.90,-31.85
7-July-2021,2469.80,2490.00,2446.80,2480.05,2472.773533391321155890,41388,4500,102343151.00,21866,52.83,43.20,10.25
6-July-2021,2495.00,2495.30,2469.95,2473.10,2481.891474365163657429,10357,1401,25704950.00,4862,46.94,25.35,-21.90
5-July-2021,2492.70,2512.00,2486.05,2498.40,2500.710981308411214953,38520,4544,96327387.00,27095,70.34,25.95,5.70
2-July-2021,2487.00,2492.95,2452.05,2488.50,2470.381360171860745710,67962,6906,167892058.00,55939,82.31,40.90,1.50
1-July-2021,2486.00,2486.00,2464.35,2476.75,2471.232279026589748690,30162,1859,74537308.00,17853,59.19,21.65,-9.25
30-June-2021,2499.00,2505.00,2462.60,2469.60,2481.438474325821943110,54140,5177,134345079.00,29014,53.59,42.40,-29.40
29-June-2021,2463.00,2497.80,2445.65,2493.55,2464.351757669763904010,67049,3828,165232321.00,41800,62.34,52.15,30.55
28-June-2021,2458.00,2464.75,2438.05,2460.00,2453.267940925570484111,37512,4468,92026987.00,19100,50.92,26.70,2.00
25-June-2021,2494.00,2494.00,2445.45,2449.15,2457.768662472092551248,73905,4622,181641393.00,47192,63.85,48.55,-44.85
24-June-2021,2493.00,2504.50,2474.70,2489.90,2488.917462099943851768,26715,2165,66491430.00,9572,35.83,29.80,-3.10
